,EntryYear,Rut,Campus,PostulationType,NEMScr,Ranking,LangScr,MathScr,ScienScr,SchoolRegion,EdTypeCode,SchoolType,MotherEd
count,537.0,537.0,537,537,537.0,537.0,537.0,537.0,537.0,537,537,537,537.0
unique,,,3,2,,,,,,23,6,6,
top,,,Stgo,REGULAR,,,,,,RM,H1,Particular Subvencionado,
freq,,,244,506,,,,,,220,498,327,
mean,2015.513966480447,19353969.27932961,,,528.1359404096834,540.9739292364991,544.1005586592179,596.9925512104284,550.6666666666666,,,,4.240223463687151
std,0.5002709180150858,643105.6772748342,,,74.97505899165677,92.01893497359164,60.066141557683025,46.39938501194434,56.47766255927386,,,,3.9803648611129554
min,2015.0,14784994.0,,,348.0,348.0,355.0,389.0,300.0,,,,0.0
25%,2015.0,19185662.0,,,477.0,482.0,505.0,568.0,518.0,,,,0.0
50%,2016.0,19475212.0,,,523.0,527.0,543.0,597.0,554.0,,,,5.0
75%,2016.0,19643494.0,,,577.0,595.0,582.0,624.0,583.0,,,,8.0
max,2016.0,23801167.0,,,807.0,850.0,746.0,762.0,696.0,,,,13.0
